SecurityID,TradingTime,CommissionOrderNo,CommissionPx,COmmissionAmount,TradeMark,OrderCategory,CommissionNo,ChannelNo,SerialNo
600519,2023-03-21 09:15:04.160,59363,1878.0,100,S,A,92044,6,105287
600519,2023-03-21 09:15:04.300,59746,1797.0,2000,S,A,92045,6,105288
600519,2023-03-21 09:15:04.340,60322,1773.0,200,S,A,92046,6,105289
600519,2023-03-21 09:15:04.340,60441,1799.99,100,S,A,92047,6,105290
600519,2023-03-21 09:15:04.340,60601,1771.6,200,S,A,92048,6,105291
600519,2023-03-21 09:15:04.340,61191,1678.0,200,B,A,92049,6,105292
600519,2023-03-21 09:15:04.340,61193,1628.0,200,B,A,92050,6,105293
600519,2023-03-21 09:15:04.340,61390,1710.0,100,B,A,92051,6,105294
600519,2023-03-21 09:15:04.340,61391,1785.0,100,S,A,92052,6,105295
600519,2023-03-21 09:15:04.340,61414,1848.0,100,S,A,92053,6,105296
600519,2023-03-21 09:15:04.500,62446,1694.14,200,B,A,92054,6,105297
600519,2023-03-21 09:15:04.500,62656,1755.0,100,S,A,92055,6,105298
600519,2023-03-21 09:15:04.500,63363,1736.0,100,S,A,92056,6,105299
600519,2023-03-21 09:15:04.500,63377,1739.0,100,S,A,92057,6,105300
600519,2023-03-21 09:15:04.500,63648,1799.0,100,S,A,92058,6,105301
600519,2023-03-21 09:15:04.500,63800,1755.0,200,S,A,92059,6,105302
600519,2023-03-21 09:15:04.500,63807,1698.0,300,B,A,92060,6,105303
600519,2023-03-21 09:15:04.500,63839,1700.0,100,B,A,92061,6,105304
600519,2023-03-21 09:15:04.500,64036,1756.97,100,S,A,92062,6,105305
600519,2023-03-21 09:15:04.640,64552,1769.8,100,S,A,92063,6,105306
600519,2023-03-21 09:15:04.640,64555,1662.12,200,B,A,92064,6,105307
600519,2023-03-21 09:15:04.640,64556,1603.13,400,B,A,92065,6,105308
600519,2023-03-21 09:15:04.690,65211,1886.0,100,S,A,92066,6,105309
600519,2023-03-21 09:15:04.690,65536,1610.0,100,B,A,92067,6,105310
600519,2023-03-21 09:15:04.690,65606,1708.0,100,B,A,92068,6,105311
600519,2023-03-21 09:15:04.690,65852,1777.77,100,S,A,92069,6,105312
600519,2023-03-21 09:15:04.690,65853,1799.99,100,S,A,92070,6,105313
600519,2023-03-21 09:15:04.690,65854,1818.18,100,S,A,92071,6,105314
600519,2023-03-21 09:15:04.690,66489,1789.0,100,S,A,92072,6,105315
600519,2023-03-21 09:15:04.690,66595,1750.0,100,S,A,92073,6,105316
600519,2023-03-21 09:15:04.820,67026,1750.0,100,S,A,92074,6,105317
600519,2023-03-21 09:15:04.820,67211,1785.21,100,S,A,92075,6,105318
600519,2023-03-21 09:15:04.820,67259,1760.0,100,S,A,92076,6,105319
600519,2023-03-21 09:15:04.820,67291,1769.0,100,S,A,92077,6,105320
600519,2023-03-21 09:15:04.820,67425,1726.15,100,B,A,92078,6,105321
600519,2023-03-21 09:15:04.820,68252,1750.0,100,S,A,92079,6,105322
600519,2023-03-21 09:15:04.820,68378,1711.6,100,B,A,92080,6,105323
600519,2023-03-21 09:15:04.820,68440,1755.0,100,S,A,92081,6,105324
600519,2023-03-21 09:15:04.820,68676,1700.0,100,B,A,92082,6,105325
600519,2023-03-21 09:15:04.820,68744,1698.0,300,B,A,92083,6,105326
600519,2023-03-21 09:15:04.970,69259,1710.0,100,B,A,92084,6,105327
600519,2023-03-21 09:15:04.970,69265,1690.0,100,B,A,92085,6,105328
600519,2023-03-21 09:15:04.970,69347,1700.0,100,B,A,92086,6,105329
600519,2023-03-21 09:15:04.970,69412,1660.0,100,B,A,92087,6,105330
600519,2023-03-21 09:15:04.970,69483,1880.0,200,S,A,92088,6,105331
600519,2023-03-21 09:15:04.970,69703,1690.0,100,B,A,92089,6,105332
600519,2023-03-21 09:15:04.970,69882,1858.88,100,S,A,92090,6,105333
600519,2023-03-21 09:15:04.970,69884,1685.01,100,B,A,92091,6,105334
600519,2023-03-21 09:15:04.970,70070,1729.6,300,B,A,92092,6,105335
600519,2023-03-21 09:15:04.970,70294,1750.0,100,S,A,92093,6,105336
600519,2023-03-21 09:15:04.970,70478,1700.0,100,B,A,92094,6,105337
600519,2023-03-21 09:15:04.970,70479,1799.0,100,S,A,92095,6,105338
600519,2023-03-21 09:15:04.970,70747,1754.0,100,S,A,92096,6,105339
600519,2023-03-21 09:15:04.970,70760,1764.0,100,S,A,92097,6,105340
600519,2023-03-21 09:15:04.970,70761,1774.0,100,S,A,92098,6,105341
600519,2023-03-21 09:15:04.970,70762,1784.0,100,S,A,92099,6,105342
600519,2023-03-21 09:15:05.110,70768,1794.0,100,S,A,92100,6,105343
600519,2023-03-21 09:15:05.110,70948,1788.0,100,S,A,92101,6,105344
600519,2023-03-21 09:15:05.150,71326,1765.0,100,S,A,92102,6,105345
600519,2023-03-21 09:15:05.150,71327,1769.0,100,S,A,92103,6,105346
600519,2023-03-21 09:15:05.150,71466,1714.14,100,B,A,92104,6,105347
600519,2023-03-21 09:15:05.150,71931,1902.0,100,S,A,92105,6,105348
600519,2023-03-21 09:15:05.150,72094,1689.14,100,B,A,92106,6,105349
600519,2023-03-21 09:15:05.150,72178,1765.0,500,S,A,92107,6,105350
600519,2023-03-21 09:15:05.150,72362,1770.0,100,S,A,92108,6,105351
600519,2023-03-21 09:15:05.150,72574,1699.14,100,B,A,92109,6,105352
600519,2023-03-21 09:15:05.310,73112,1700.04,100,B,A,92110,6,105353
600519,2023-03-21 09:15:05.310,73537,1789.0,200,S,A,92111,6,105354
600519,2023-03-21 09:15:05.310,73585,1556.64,100,B,A,92112,6,105355
600519,2023-03-21 09:15:05.310,73728,1738.0,100,S,A,92113,6,105356
600519,2023-03-21 09:15:05.310,73752,1679.0,100,B,A,92114,6,105357
600519,2023-03-21 09:15:05.310,74142,1770.0,100,S,A,92115,6,105358
