timestamp,limit_buy_n,limit_buy_volume,market_buy_n,market_buy_volume,withdraw_buy_n,withdraw_buy_volume,limit_sell_n,limit_sell_volume,market_sell_n,market_sell_volume,withdraw_sell_n,withdraw_sell_volume
2023-03-22 09:30:02.910000,0,0,0,0,0,0,1,100,0,0,0,0
2023-03-22 09:30:03.190000,0,0,0,0,0,0,1,100,0,0,0,0
2023-03-22 09:30:03.350000,0,0,0,0,0,0,1,100,0,0,0,0
2023-03-22 09:30:03.590000,0,0,0,0,0,0,2,200,0,0,0,0
2023-03-22 09:30:03.880000,0,0,0,0,0,0,2,200,0,0,0,0
2023-03-22 09:30:04.030000,0,0,0,0,0,0,2,200,0,0,0,0
2023-03-22 09:30:04.170000,1,100,0,0,1,100,3,400,0,0,0,0
2023-03-22 09:30:04.320000,1,100,0,0,0,0,1,100,0,0,0,0
2023-03-22 09:30:04.450000,1,200,0,0,1,100,2,100,0,0,0,0
2023-03-22 09:30:04.610000,0,0,0,0,0,0,2,100,0,0,0,0
2023-03-22 09:30:04.740000,1,100,0,0,0,0,0,0,0,0,0,0
2023-03-22 09:30:04.900000,3,400,0,0,0,0,0,0,0,0,0,0
2023-03-22 09:30:05.040000,0,0,0,0,0,0,2,100,0,0,1,500
2023-03-22 09:30:05.180000,1,100,0,0,0,0,3,200,0,0,0,0
2023-03-22 09:30:05.760000,0,0,0,0,0,0,5,300,0,0,0,0
2023-03-22 09:30:06.050000,2,300,0,0,0,0,0,0,2,300,0,0
2023-03-22 09:30:06.100000,0,0,0,0,0,0,1,100,0,0,1,100
2023-03-22 09:30:06.250000,0,0,0,0,1,400,1,100,0,0,0,0
2023-03-22 09:30:06.570000,0,0,0,0,0,0,3,300,0,0,0,0
2023-03-22 09:30:06.700000,0,0,0,0,0,0,1,100,0,0,0,0
