SecurityID,TradingTime,TradePx,TradeAmount,TradeValue,OrderNo,OfferNo,TradeNo,ChannelCode,SBMark,SerialNo,SendingTime
600519,20230320092500800,1751.0,200,350200.0,215186,169799,14795,6,N,107496,20230320092501
600519,20230320092500800,1751.0,100,175100.0,215186,178500,14796,6,N,107497,20230320092501
600519,20230320092500800,1751.0,100,175100.0,215186,179445,14797,6,N,107498,20230320092501
600519,20230320092500800,1751.0,100,175100.0,215186,191718,14798,6,N,107499,20230320092501
600519,20230320092500800,1751.0,100,175100.0,215186,193721,14799,6,N,107500,20230320092501
600519,20230320092500800,1751.0,115,201365.0,215186,193862,14800,6,N,107501,20230320092501
600519,20230320092500800,1751.0,185,323935.0,216939,193862,14801,6,N,107502,20230320092501
600519,20230320092500800,1751.0,100,175100.0,216939,197866,14802,6,N,107503,20230320092501
600519,20230320092500800,1751.0,500,875500.0,216939,199041,14803,6,N,107504,20230320092501
600519,20230320092500800,1751.0,100,175100.0,216939,201976,14804,6,N,107505,20230320092501
600519,20230320092500800,1751.0,200,350200.0,216939,213991,14805,6,N,107506,20230320092501
600519,20230320092500800,1751.0,15,26265.0,216939,214196,14806,6,N,107507,20230320092501
600519,20230320092500800,1751.0,85,148835.0,96826,214196,14807,6,N,107508,20230320092501
600519,20230320092500800,1751.0,15,26265.0,96826,174648,14808,6,N,107509,20230320092501
600519,20230320092500800,1751.0,85,148835.0,154764,174648,14809,6,N,107510,20230320092501
600519,20230320092500800,1751.0,100,175100.0,154764,170479,14810,6,N,107511,20230320092501
600519,20230320092500800,1751.0,100,175100.0,154764,199289,14811,6,N,107512,20230320092501
600519,20230320092500800,1751.0,15,26265.0,154764,110265,14812,6,N,107513,20230320092501
600519,20230320092500800,1751.0,85,148835.0,162501,110265,14813,6,N,107514,20230320092501
600519,20230320092500800,1751.0,15,26265.0,162501,156568,14814,6,N,107515,20230320092501
600519,20230320092500800,1751.0,85,148835.0,167772,156568,14815,6,N,107516,20230320092501
600519,20230320092500800,1751.0,15,26265.0,167772,156592,14816,6,N,107517,20230320092501
600519,20230320092500800,1751.0,85,148835.0,170024,156592,14817,6,N,107518,20230320092501
600519,20230320092500800,1751.0,15,26265.0,170024,156875,14818,6,N,107519,20230320092501
600519,20230320092500800,1751.0,85,148835.0,171538,156875,14819,6,N,107520,20230320092501
600519,20230320092500800,1751.0,15,26265.0,171538,157248,14820,6,N,107521,20230320092501
600519,20230320092500800,1751.0,200,350200.0,173484,157248,14821,6,N,107522,20230320092501
