TradingTime,SecurityID,CommissionOrderNo,CommissionPx,COmmissionAmount,TradeMark,OrderCategory,CommissionNo,ChannelNo,SerialNo
2023-03-20 09:17:47,600519.0,148968.0,1730.0,400.0,B,A,92112.0,6.0,106818.0
2023-03-20 09:17:48,600519.0,149081.0,1761.33,100.0,S,A,92114.0,6.0,106820.0
2023-03-20 09:17:49,600519.0,149174.0,1730.36,100.0,B,A,92115.0,6.0,106821.0
2023-03-20 09:17:50,600519.0,149309.0,1768.99,100.0,S,A,92118.0,6.0,106824.0
2023-03-20 09:17:51,600519.0,149313.0,1799.88,100.0,S,A,92119.0,6.0,106825.0
2023-03-20 09:17:53,600519.0,149517.0,1727.27,400.0,B,A,92120.0,6.0,106826.0
2023-03-20 09:17:54,600519.0,149584.0,1780.0,100.0,S,A,92122.0,6.0,106828.0
2023-03-20 09:17:55,600519.0,148243.0,1758.0,100.0,B,D,92123.0,6.0,106829.0
2023-03-20 09:17:56,600519.0,149690.0,1750.17,100.0,B,A,92124.0,6.0,106830.0
2023-03-20 09:17:58,600519.0,149883.0,1784.8,100.0,S,A,92125.0,6.0,106831.0
2023-03-20 09:17:59,600519.0,149991.0,1838.0,100.0,S,A,92126.0,6.0,106832.0
2023-03-20 09:18:01,600519.0,150211.0,1671.18,100.0,B,A,92128.0,6.0,106834.0
2023-03-20 09:18:02,600519.0,150423.0,1756.99,500.0,S,A,92130.0,6.0,106836.0
2023-03-20 09:18:03,600519.0,150467.0,1758.89,100.0,S,A,92131.0,6.0,106837.0
2023-03-20 09:18:04,600519.0,150538.0,1794.0,100.0,S,A,92132.0,6.0,106838.0
2023-03-20 09:18:05,600519.0,150674.0,1707.77,500.0,B,A,92133.0,6.0,106839.0
2023-03-20 09:18:08,600519.0,150935.0,1800.0,100.0,S,A,92135.0,6.0,106841.0
2023-03-20 09:18:09,600519.0,150964.0,1701.05,100.0,B,A,92136.0,6.0,106842.0
2023-03-20 09:18:10,600519.0,151085.0,1730.0,100.0,B,A,92137.0,6.0,106843.0
2023-03-20 09:18:11,600519.0,151188.0,1778.0,100.0,S,A,92138.0,6.0,106844.0
2023-03-20 09:18:12,600519.0,151305.0,1777.77,100.0,S,A,92139.0,6.0,106845.0
2023-03-20 09:18:14,600519.0,151419.0,1763.0,100.0,S,A,92140.0,6.0,106846.0
2023-03-20 09:18:15,600519.0,151579.0,1756.88,100.0,S,A,92143.0,6.0,106849.0
2023-03-20 09:18:17,600519.0,151740.0,1772.96,100.0,S,A,92144.0,6.0,106850.0
2023-03-20 09:18:18,600519.0,148190.0,1757.0,100.0,S,D,92146.0,6.0,106852.0
2023-03-20 09:18:22,600519.0,152178.0,1765.65,100.0,S,A,92147.0,6.0,106853.0
2023-03-20 09:18:23,600519.0,152267.0,1760.0,100.0,S,A,92148.0,6.0,106854.0
2023-03-20 09:18:24,600519.0,152331.0,1775.0,100.0,S,A,92150.0,6.0,106856.0
2023-03-20 09:18:26,600519.0,152549.0,1782.0,100.0,S,A,92153.0,6.0,106859.0
2023-03-20 09:18:27,600519.0,152643.0,1770.88,100.0,S,A,92154.0,6.0,106860.0
2023-03-20 09:18:28,600519.0,152721.0,1837.0,100.0,S,A,92156.0,6.0,106862.0
2023-03-20 09:18:29,600519.0,148403.0,1756.99,100.0,S,D,92159.0,6.0,106865.0
2023-03-20 09:18:30,600519.0,152923.0,1916.2,100.0,S,A,92160.0,6.0,106866.0
2023-03-20 09:18:32,600519.0,153105.0,1756.8,300.0,S,A,92162.0,6.0,106868.0
2023-03-20 09:18:33,600519.0,144853.0,1730.0,100.0,S,D,92163.0,6.0,106869.0
2023-03-20 09:18:34,600519.0,76747.0,1770.0,100.0,S,D,92164.0,6.0,106870.0
2023-03-20 09:18:35,600519.0,153341.0,1759.95,100.0,S,A,92167.0,6.0,106873.0
2023-03-20 09:18:36,600519.0,153422.0,1756.69,100.0,S,A,92169.0,6.0,106875.0
2023-03-20 09:18:38,600519.0,153688.0,1778.0,100.0,S,A,92170.0,6.0,106876.0
2023-03-20 09:18:39,600519.0,141997.0,1829.1,700.0,B,D,92172.0,6.0,106878.0
2023-03-20 09:18:40,600519.0,153894.0,1782.0,100.0,S,A,92175.0,6.0,106881.0
2023-03-20 09:18:41,600519.0,153991.0,1770.86,100.0,S,A,92178.0,6.0,106884.0
2023-03-20 09:18:42,600519.0,154086.0,1763.89,100.0,S,A,92181.0,6.0,106887.0
2023-03-20 09:18:43,600519.0,138243.0,1829.1,100.0,B,D,92183.0,6.0,106889.0
2023-03-20 09:18:44,600519.0,154255.0,1769.0,100.0,S,A,92187.0,6.0,106893.0
2023-03-20 09:18:46,600519.0,149291.0,1736.0,200.0,B,D,92189.0,6.0,106895.0
2023-03-20 09:18:47,600519.0,154523.0,1769.95,100.0,S,A,92194.0,6.0,106900.0
2023-03-20 09:18:48,600519.0,154629.0,1750.0,300.0,S,A,92197.0,6.0,106903.0
2023-03-20 09:18:50,600519.0,154821.0,1756.0,200.0,S,A,92201.0,6.0,106907.0
2023-03-20 09:18:53,600519.0,155038.0,1774.8,300.0,S,A,92202.0,6.0,106908.0
2023-03-20 09:18:54,600519.0,155183.0,1768.0,100.0,S,A,92204.0,6.0,106910.0
2023-03-20 09:18:56,600519.0,155336.0,1760.0,100.0,S,A,92205.0,6.0,106911.0
2023-03-20 09:19:00,600519.0,147460.0,1758.0,100.0,S,D,92206.0,6.0,106912.0
2023-03-20 09:19:01,600519.0,155805.0,1700.0,100.0,S,A,92208.0,6.0,106914.0
2023-03-20 09:19:03,600519.0,153881.0,1756.88,100.0,S,D,92210.0,6.0,106916.0
2023-03-20 09:19:07,600519.0,156419.0,1727.0,100.0,B,A,92211.0,6.0,106917.0
2023-03-20 09:19:08,600519.0,156440.0,1702.0,100.0,B,A,92212.0,6.0,106918.0
2023-03-20 09:19:09,600519.0,156592.0,1748.5,100.0,S,A,92214.0,6.0,106920.0
2023-03-20 09:19:11,600519.0,133103.0,1749.88,100.0,S,D,92216.0,6.0,106922.0
2023-03-20 09:19:12,600519.0,156875.0,1748.5,100.0,S,A,92217.0,6.0,106923.0
2023-03-20 09:19:13,600519.0,157028.0,1759.0,100.0,S,A,92218.0,6.0,106924.0
2023-03-20 09:19:14,600519.0,157050.0,1732.0,200.0,B,A,92220.0,6.0,106926.0
